seq;Order;Family;IOC_15.2;English;Catalan;Chinese;Chinese (Traditional);Croatian;Czech;Danish;Dutch;Esperanto;Finnish;French;German;Italian;Japanese;Lithuanian;Norwegian;Polish;Portuguese (Lusophone);Portuguese (Portuguese);Russian;Serbian;Slovak;Spanish;Swedish;Turkish;Ukrainian;Afrikaans;Arabic;Belarusian;Bulgarian;Estonian;French (Gaudin);Greek;Hebrew;Hungarian;Icelandic;Indonesian;Korean;Latvian;Macedonian;Malayalam;Northern Sami;Persian;Romanian;Slovenian;Thai
10829;PASSERIFORMES;Cardinalidae;Passerina amoena;Lazuli Bunting;cardenal indi capblau;白腹蓝彩鹀;琉璃彩鵐;tirkizni batač;papežík lazurový;Lazulifinke;Lazuligors;lazura kardinalo;turkoosikardinaali;Passerin azuré;Lazulifink;Zigolo lapislazzuli;ムネアカルリノジコ;mėlyngalvė startenė;lazulispurv;łuszczyk lazurowy;mariposa-lazúli;cardeal-lazúli;Лазурный колорин;Lapis azuli strnadica;pápežík pôvabný;Azulillo lapislázuli;lazulikardinal;Lazuli Çintesi;скригнатка лазурова;;;;;vööt-indigolind;Passerin azuré;;;azúrpinty;Skrúðtittlingur;;;zilgalvas stērste;;;Turkosacihci;;;turkizni mavričar;
10830;PASSERIFORMES;Cardinalidae;Passerina versicolor;Varied Bunting;cardenal indi violaci;杂色彩鹀;雜色彩鵐;meksički batač;papežík mnohobarvý;Mangefarvet Finke;Veelkleurengors;diverskolora kardinalo;purppurakardinaali;Passerin varié;Vielfarbenfink;Zigolo vario;ムラサキノジコ;spalvingoji startenė;purpurspurv;łuszczyk tęczowy;mariposa-escura;cardeal-multicolor;Разноцветный колорин;Višebojna strnadica;pápežík farbistý;Azulillo morado;purpurkardinal;Değişken Renkli Çinte;скригнатка пурпурова;;;;;;Passerin varié;;;sokszínű pinty;;;;daudzkrāsu stērste;;;;;;;
10831;PASSERIFORMES;Cardinalidae;Passerina ciris;Painted Bunting;cardenal indi pintat;丽彩鹀;麗色彩鵐;šareni batač;papežík zelenohřbetý;Pavefinke;Purpergors;pentrita kardinalo;sateenkaarikardinaali;Passerin nonpareil;Papstfink;Zigolo pittato;ゴシキノジコ;puošnioji startenė;pavespurv;łuszczyk wielobarwny;mariposa-arco-íris;cardeal-arco-íris;Расписной колорин;Šarena američka strnadica;pápežík zlatochrbtý;Azulillo sietecolores;påvekardinal;Boyalı Çinte;скригнатка райдужна;;;;;viker-indigolind;Passerin nonpareil;;;pápapinty;Pátittlingur;;;greznā stērste;;;Pávacihci;;;mavričar;
10832;PASSERIFORMES;Cardinalidae;Passerina rositae;Rose-bellied Bunting;cardenal indi de ventre rosat;粉腹彩鹀;玫瑰腹藍彩鵐;ružičastotrbi batač;papežík mexický;Rosenbrystet Finke;Rozebuikgors;rozventra kardinalo;ruusuvatsakardinaali;Passerin à ventre rose;Rosenbauchfink;Zigolo panciarosa;バライロルリノジコ;rausvapilvė startenė;rosenbukspurv;łuszczyk różowobrzuchy;mariposa-de-ventre-rosa;cardeal-de-barriga-rosado;Розовобрюхий колорин;Strnadica ružičastog trbuha;pápežík ružovobruchý;Azulillo ventrirrosado;hallonbukig kardinal;Gül Karınlı Çinte;скригнатка рожевочерева;;;;;;Passerin à ventre rose;;;rózsáshasú pinty;;;;;;;;;;;
10833;PASSERIFORMES;Cardinalidae;Passerina leclancherii;Orange-breasted Bunting;cardenal indi de pit carbassa;橙胸彩鹀;橙胸彩鵐;narančastoprsi batač;papežík Leclancheriho;Orangeblå Finke;Regenbooggors;oranĝbrusta kardinalo;kultarintakardinaali;Passerin arc-en-ciel;Orangeblaufink;Zigolo pettoarancio;キバラルリノジコ;oranžinė startenė;oransjebrystspurv;łuszczyk żółtobrzuchy;mariposa-de-peito-laranja;cardeal-de-peito-laranja;Жёлто-синий колорин;Narandžasto-plava strnadica;pápežík pestrý;Azulillo pechinaranja;orangeblå kardinal;Turuncu Karınlı Çinte;скригнатка жовтогруда;;;;;;Passerin arc-en-ciel;;;mexikói pinty;;;;;;;;;;;
10834;PASSERIFORMES;Thraupidae;Catamblyrhynchus diadema;Plushcap;tàngara durbec;绒顶唐纳雀;絨頂雀;plišokapa tangara;temenáček diamantový;Diademfinke;Fluweelkaptangare;pluŝoĉapa tangaro;kruunusirkku;Tête-de-peluche couronné;Plüschkopftangare;Testacoronata;ズキンコウカンチョウ;pliušiagalvis giesmininkas;plysjpanne;pluszogłówka;felpudo;tangará-felpudo;Плюшевоголов;;plyšohlávka bambusová;Tangara peluda;plyschpanna;Peruklu Tangara;плюшівник золотолобий;;;;;;Tête-de-peluche couronné;;;bársonyfejű pinty;;;;;;;;;;;
10835;PASSERIFORMES;Thraupidae;Charitospiza eucosma;Coal-crested Finch;sit armat;煤冠雀;煤冠雀;srebrnastouha tangara;temenáček černochocholatý;Hvidkindet Topfinke;Meesgors;karbokresta tangaro;tiaissirkkunen;Charitospize charbonnier;Meisentangare;Fringuello crestacarbone;ヒガラモドキ;juodakuodis kikilis;meisespurv;czarnoczubek;mineirinho;tentilhão-chapim;Кардиналовая харита;Senicolika zeba;uhliarik chochlatý;Monterita crestada;savanntangara;Baştankara İspinozu;чорночубик;;;;;;Charitospize charbonnier;;;;;;;;;;;;;;
10836;PASSERIFORMES;Thraupidae;Orchesticus abeillei;Brown Tanager;tàngara bruna;褐唐纳雀;褐唐納雀;cimetasta tangara;tangara liščí;Bruntangar;Vostangare;bruna tangaro;ruskotangara;Tangara brun;Fuchstangare;Tanagra bruna;チャイロフウキンチョウ;rudoji tanagra;bruntanagar;cynamonówka;sanhaço-pardo;tangará-castanho;Коричневая танагра;Smeđa tangara;hnedáčik lesný;Tangara parda;bruntangara;Kahverengi Tangara;тангар бурий;;;;;;Tangara brun;;;;;;;;;;;;;;
10837;PASSERIFORMES;Thraupidae;Parkerthraustes humeralis;Yellow-shouldered Grosbeak;cardenal emmascarat;黄肩厚嘴雀;黃肩臘嘴雀;prugastogrla tangara;dlaskovec žlutoramenný;Gulskuldret Kernebider;Geelschouderkardinaal;flavŝultra tangaro;rosvokardinaali;Tangara de Parker;Gelbschultertangare;Beccogrosso spallegialle;キガタイカル;geltonpetis didžiasnapis kardinolas;skjellstrupetanagar;amazonek;furriel-de-encontro;bico-grosso-d'ombros-amarelos;Дубоносовая танагра;Batokljun žutih ramena;hrubozob žltoplecí;Picogrueso humeral;gulskuldrad tangara;Parker Tangarası;амазонник;;;;;;Tangara de Parker;;;sárgavállú kardinális;;;;;;;;;;;
10838;PASSERIFORMES;Thraupidae;Nemosia pileata;Hooded Tanager;tàngara camagroga;黑顶唐纳雀;黑頂唐納雀;siva tangara;tangara mitrovitá;Hvidtøjlet Tangar;Kaptangare;kapuĉa tangaro;kukkatangara;Tangara coiffe-noire;Schwarzkappentangare;Tanagra monaca;ズキンフウキンチョウ;kuoduotoji nemozija;tøyletanagar;polańczyk maskowy;saíra-de-chapéu-preto;tangará-de-capuz-preto;Черношапочная танагра;Kapuljačasta tangara;hájovka čiernohlavá;Tangara encapuchada;tygeltangara;Başlıklı Tangara;танагрець масковий;;;;;;Némosie coiffe-noire;;;;;;;;;;;;;;
10839;PASSERIFORMES;Thraupidae;Nemosia rourei;Cherry-throated Tanager;tàngara gola-roja;红喉唐纳雀;玫喉唐納雀;crvenoprsa tangara;tangara rubínohrdlá;Rubinstrubet Tangar;Robijnkeeltangare;rubengorĝa tangaro;naamiokukkatangara;Tangara rougegorge;Rubinkehltangare;Tanagra golaciliegia;バラノドズキンフウキンチョウ;raudongurklė nemozija;rubinstrupetanagar;polańczyk rubinowy;saíra-apunhalada;tangará-apunhalado;Рубиновогорлая танагра;;hájovka červenohrdlá;Tangara golirroja;rubinstrupig tangara;Yakut Gerdanlı Tangara;танагрець рубінововолий;;;;;;Némosie rougegorge;;;vöröstorkú áltangara;;;;;;;;;;;
10840;PASSERIFORMES;Thraupidae;Cyanicterus cyanicterus;Blue-backed Tanager;tàngara de dors turquesa;蓝背唐纳雀;藍背唐納雀;kobaltastoleđa tangara;tangara okrasná;Krumnæbstangar;Siertangare;bludorsa tangaro;guayanantangara;Tangara cyanictère;Ziertangare;Tanagra dorsoblu;セアオフウキンチョウ;mėlynnugarė tanagra;blåryggtanagar;modrotanager;pipira-azul;tangará-de-dorso-azul;Синеспинная танагра;;hájovka ozdobná;Tangara dorsiazul;blåryggig tangara;Mavi Sırtlı Tangara;танагра ультрамаринова;;;;;;Némosie cyanictère;;;;;;;;;;;;;;
10841;PASSERIFORMES;Thraupidae;Sericossypha albocristata;White-capped Tanager;tàngara de capell blanc;白顶唐纳雀;白頂唐納雀;bjelokruna tangara;tangara bělokápá;Kronetangar;Witkaptangare;blankĉapa tangaro;valkolakkitangara;Tangara à coiffe blanche;Weißkappentangare;Tanagra capobianco;シラガフウキンチョウ;baltagalvė tanagra;hvitkronetanagar;śnieżnogłowik;poupa-branca;tangará-de-coroa-branca;Белошапочная танагра;;hájovka bielohlavá;Tangara coroniblanca;vitkronad tangara;Ak Peruklu Tangara;тангар білоголовий;;;;;;Némosie à coiffe blanche;;;pártás tangara;;;;;;;;;;;
10842;PASSERIFORMES;Thraupidae;Compsothraupis loricata;Scarlet-throated Tanager;tàngara de gola escarlata;朱喉唐纳雀;朱喉唐納雀;grimiznogrla tangara;tangara červenohrdlá;Rødbrystet Tangar;Roodborsttangare;skarlargorĝa tangaro;punakurkkutangara;Tangara à gorge écarlate;Rotbrusttangare;Tanagra golascarlatta;ヒノドフウキンチョウ;raudongurklė tanagra;rødstrupetanagar;katingowczyk;tiê-caburé;tangará-de-garganta-escarlate;Красногрудая танагра;;hájovka čierna;Tangara gorjirroja;rödstrupig tangara;Al Boğazlı Tangara;тангар червоногорлий;;;;;;Némosie à gorge écarlate;;;;;;;;;;;;;;
10843;PASSERIFORMES;Thraupidae;Coryphaspiza melanotis;Black-masked Finch;sit galtanegre;花脸雀;黑裝臉雀;travnjački sjemenar;temenáček černolící;Sortmasket Finke;Campogors;nigravanga tangaro;naamiosirkkunen;Coryphaspize à joues noires;Schwarzkopftangare;Fringuello faccianera;マミジロシトド;juodagalvis kikilis;svartkinnspurv;chórzyk;tico-tico-de-máscara-negra;tentilhão-mascarado;Аписа;Zeba sa crnom maskom;pinkár čiernolíci;Cachilo enmascarado;svartkindad tangara;Kara Kulaklı İspinoz;вівсянчик чорнощокий;;;;;;Coryphaspize à joues noires;;;;;;;;;;;;;;
10844;PASSERIFORMES;Thraupidae;Embernagra platensis;Pampa Finch;sit cuallarg de la pampa;大南美草鹀;大潘帕雀;zelenokrili sjemenar;strnadec pampový;Pampasfinke;Pampagors;pampa tangaro;pampasirkku;Embernagre à cinq couleurs;Pampagrastangare;Fringuello della pampa maggiore;ソウゲンノジコ;didžioji lyguminė starta;pampasspurv;pampasówka szarolica;sabiá-do-banhado;tentilhão-das-pampas;Оливковый пампасник;Velika pampaska zeba;tráviarka sivohlavá;Coludo verdón;pampastangara;Pampa İspinozu;пампасник великий;;;;;;Embernagre à cinq couleurs;;;;;;;;;;;;;;
10845;PASSERIFORMES;Thraupidae;Embernagra longicauda;Serra Finch;sit cuallarg del Brasil;南美草鹀;黃喉潘帕雀;zelenorepi sjemenar;strnadec plavohrdlý;Lysstrubet Pampasfinke;Langstaartgors;palgorĝa tangaro;bahianpampasirkku;Embernagre du Brésil;Langschwanz-Grastangare;Fringuello della pampa golachiara;キノドソウゲンノジコ;ilgauodegė lyguminė starta;serraspurv;pampasówka szarogłowa;rabo-mole-da-serra;tentilhão-das-chapadas;Длиннохвостый пампасник;Svetlogrla pampaska zeba;tráviarka plavohrdlá;Coludo gorjipálido;serratangara;Serra İspinozu;пампасник світлоголовий;;;;;;Embernagre du Brésil;;;;;;;;;;;;;;
10846;PASSERIFORMES;Thraupidae;Emberizoides ypiranganus;Lesser Grass Finch;sit cuallarg pàl·lid;小草鹀;小擬草鵐;sjemenar rogožar;strnadec menší;Gråkindet Græsfinke;Kleine Grasgors;eta herbotangaro;pikkupyrstösirkku;Petit Tardivole;Olivmantel-Grastangare;Fringuello d'erba minore;ヒメクサビオノジコ;mažoji pievinė starta;paranáspurv;trznadlówka mała;canário-do-brejo;tentilhão-palustre;Серощёкая колудито;Mala pampaska zeba;tráviarka mokrinová;Coludo chico;gråkindad grästangara;Küçük Otlak İspinozu;трав’янець малий;;;;;;Petit Tardivole;;;;;;;;;;;;;;
10847;PASSERIFORMES;Thraupidae;Emberizoides herbicola;Wedge-tailed Grass Finch;sit cuallarg cremós;楔尾草鹀;楔尾草鵐;oštrorepi sjemenar;strnadec travní;Kilehalefinke;Wigstaartgrasgors;kojnvosta herbotangaro;pyrstösirkku;Grand Tardivole;Keilschwanz-Grastangare;Fringuello d'erba cuneato;クサビオノジコ;pleištauodegė pievinė starta;kilestjertspurv;trznadlówka ostrosterna;canário-do-campo;tentilhão-de-cauda-graduada;Клинохвостая колудито;Klinorepa pampaska zeba;tráviarka klinochvostá;Coludo colicuña;kilstjärtad grästangara;Kama Kuyruklu Otlak İspinozu;трав’янець гострохвостий;;;;;;Grand Tardivole;;;;;;;;;;;;;;
10848;PASSERIFORMES;Thraupidae;Emberizoides duidae;Duida Grass Finch;sit cuallarg del mont Duida;山楔尾草鹀;杜伊達草鵐;tepujski sjemenar;strnadec venezuelský;Duidagræsfinke;Duidagrasgors;duida herbotangaro;duidanpyrstösirkku;Tardivole du Duida;Duidagrastangare;Fringuello d'erba del Duida;ドゥイダクサビオノジコ;;duidaspurv;trznadlówka duża;canário-do-duída;tentilhão-do-duida;Венесуэльская колудито;Duida pampaska zeba;tráviarka hnedá;Coludo del Duida;duidagrästangara;Duida Otlak İspinozu;трав’янець великий;;;;;;Tardivole du Duida;;;;;;;;;;;;;;
10849;PASSERIFORMES;Thraupidae;Incaspiza pulchra;Great Inca Finch;inca ala-rogenc;大印加雀;大印加雀;sivoprsi sjemenar;dijuka ozdobná;Inkafinke;Grote Incagors;rufaflugila inkatangaro;rotkoinkasirkku;Incaspize remarquable;Inkakaktustangare;Fringuello inca maggiore;インカシトド;didžioji inka;storinkaspurv;ineczka wspaniała;canário-andino-de-asa-ruiva;tentilhão-inca-grande;Большая пизарита-инка;Velika inka zeba;inkavec pôvabný;Incaspiza alirrufo;större inkatangara;Kızıl Kanatlı İnka İspinozu;інкавець великий;;;;;;Incaspize remarquable;;;;;;;;;;;;;;
10850;PASSERIFORMES;Thraupidae;Incaspiza personata;Rufous-backed Inca Finch;inca de dors bru;棕背印加雀;棕背印加雀;maranonski sjemenar;dijuka masková;Brunrygget Inkafinke;Roodrugincagors;rufdorsa inkatangaro;ruskoinkasirkku;Incaspize costumé;Rotmantel-Kaktustangare;Fringuello inca dorsorossiccio;セアカインカシトド;rausvanugarė inka;maskeinkaspurv;ineczka maskowa;canário-andino-de-dorso-ruivo;tentilhão-inca-de-dorso-ruivo;Рыжеспинная пизарита-инка;Riđoleđa inka zeba;inkavec čiernočelý;Incaspiza dorsirrufo;rostryggig inkatangara;Kızıl Sırtlı İnka İspinozu;інкавець масковий;;;;;;Incaspize costumé;;;;;;;;;;;;;;
10851;PASSERIFORMES;Thraupidae;Incaspiza ortizi;Grey-winged Inca Finch;inca d'Ortiz;灰翅印加雀;灰翅印加雀;prugastoleđi sjemenar;dijuka šedokřídlá;Gråvinget Inkafinke;Grijsvleugelincagors;grizflugila inkatangaro;aavikkoinkasirkku;Incaspize d’Ortiz;Streifenrücken-Kaktustangare;Fringuello inca aligrigie;ハイバネインカシトド;pilkasparnė inka;gråinkaspurv;ineczka szaroskrzydła;canário-andino-de-asa-cinzenta;tentilhão-inca-cinzento;Серокрылая пизарита-инка;Sivokrila inka zeba;inkavec sivokrídly;Incaspiza aligrís;gråvingad inkatangara;Gri Kanatlı İnka İspinozu;інкавець сірокрилий;;;;;;Incaspize d'Ortiz;;;;;;;;;;;;;;
10852;PASSERIFORMES;Thraupidae;Incaspiza laeta;Buff-bridled Inca Finch;inca mostatxut;黄纹印加雀;皮黃紋印加雀;riđoleđi sjemenar;dijuka uzdičková;Skæginkafinke;Geelbaardincagors;liphara inkatangaro;viiksi-inkasirkku;Incaspize à moustaches;Schwarzstirn-Kaktustangare;Fringuello inca dalle redini;ノドグロインカシトド;auksasnapė inka;skjegginkaspurv;ineczka wąsata;canário-andino-de-bigodes;tentilhão-inca-de-bigodes;Усатая пизарита-инка;;inkavec fúzatý;Incaspiza bigotudo;mustaschinkatangara;Ak Bıyıklı İnka İspinozu;інкавець вусатий;;;;;;Incaspize à moustaches;;;;;;;;;;;;;;
10853;PASSERIFORMES;Thraupidae;Incaspiza watkinsi;Little Inca Finch;inca del Marañón;小印加雀;小印加雀;pustinjski sjemenar;dijuka malá;Dværginkafinke;Kleine Incagors;eta inkatangaro;pikkuinkasirkku;Incaspize de Watkins;Rotschulter-Kaktustangare;Fringuello inca minore;ヒメインカシトド;mažoji inka;dverginkaspurv;ineczka mała;canário-andino-pequeno;tentilhão-inca-pequeno;Мараньонская пизарита-инка;Mala inka zeba;inkavec malý;Incaspiza chico;mindre inkatangara;Küçük İnka İspinozu;інкавець малий;;;;;;Incaspize de Watkins;;;;;;;;;;;;;;
10854;PASSERIFORMES;Thraupidae;Rhopospina fruticeti;Mourning Sierra Finch;frigil ploraner;黑岭雀鹀;黑嶺雀;čađasti sjemenar;dijuka černoprsá;Sørgeandesfinke;Rouwsierragors;funebra tangaro;surusirkku;Incaspize petit-deuil;Strauchammertangare;Fringuello di sierra piangente;ムナグロヤマシトド;niūrioji kalninė starta;sotandesspurv;żółtonos śniady;canário-andino-negro;tentilhão-de-peito-preto;Печальная пизарита;Žalopojna sijera zeba;jal záhradný;Yal pechinegro;sorgtangara;Karaca And İspinozu;вівсянчик великий;;;;;;Incaspize petit-deuil;;;;;;;;;;;;;;
10855;PASSERIFORMES;Thraupidae;Rhopospina caerulescens;Blue Finch;frigil blau;蓝雀鹀;黃嘴藍雀;modri sjemenar;prelátek kobaltový;Blå Finke;Kobaltgors;blua tangaro;safiirikardinaali;Porphyrin à bec jaune;Kobaltammertangare;Fringuello blu beccogiallo;アオノジコ;geltonsnapis startinis kardinolas;blåspurv;żółtonos lazurowy;campainha-azul;tentilhão-do-cerrado;Кобальтовая пизарита;Plava sijera zeba;jal modruška;Yal azul;campostangara;Sarı Gagalı Mavi İspinoz;вівсянчик синій;;;;;;Incaspize à bec jaune;;;kobaltkék pinty;;;;;;;;;;;
10856;PASSERIFORMES;Thraupidae;Rhopospina alaudina;Band-tailed Sierra Finch;frigil becgroc;斑尾岭雀鹀;斑尾嶺雀;sjemenar stjenjak;dijuka bzučivá;Sortmasket Andesfinke;Bandstaartsierragors;strivosta tangaro;hietasirkku;Incaspize à queue barrée;Lerchenammertangare;Fringuello di sierra codafasciata;オビオヤマシトド;dėmėtuodegė kalninė starta;båndandesspurv;żółtonos pręgosterny;canário-andino-prateado;tentilhão-de-cauda-bandada;Пятнистохвостая пизарита;Sijera zeba sa trakastim repom;jal žltozobý;Yal platero;lärktangara;Bant Kuyruklu And İspinozu;вівсянчик смугохвостий;;;;;;Incaspize à queue barrée;;;;;;;;;;;;;;
10857;PASSERIFORMES;Thraupidae;Rhopospina carbonaria;Carbonated Sierra Finch;frigil carboner;炭黑岭雀鹀;炭黑嶺雀;argentinski sjemenar;dijuka uhlířská;Sortbrystet Andesfinke;Zwarte Sierragors;karba tangaro;argentiinansirkku;Incaspize charbonnier;Karbonammertangare;Fringuello di sierra carbonello;クロハラヤマシトド;juodakrūtė kalninė starta;kullspurv;żółtonos okopcony;canário-andino-carvoeiro;tentilhão-carvoeiro;Черногрудая пизарита;;jal pampový;Yal carbonero;koltangara;Kömürcü İspinoz;вівсянчик аргентинський;;;;;;Incaspize charbonnier;;;;;;;;;;;;;;
10858;PASSERIFORMES;Thraupidae;Chlorophanes spiza;Green Honeycreeper;tàngara melera encaputxada;绿旋蜜雀;綠旋蜜雀;žutokljuna tangara;květomil černohlavý;Sorthovedet Honningsuger;Groene Suikervogel;verda tangaro;turkoosimesitangara;Tangara émeraude;Kappennaschvogel;Mielero verde;ズグロミツドリ;brazilinė tanagra;grønnhonningkryper;seledynek;saí-verde;dácnis-meleiro-verde;Малахитовый саи;Zeleni medni puzić;temtem smaragdový;Mielerito verde;nektartangara;Yeşil Balkuşu;саї великий;;;;;;Chlorophane émeraude;;;zöld cukormadár;;;;;;;;;;;
10859;PASSERIFORMES;Thraupidae;Iridophanes pulcherrimus;Golden-collared Honeycreeper;tàngara melera de collar;金领旋蜜雀;金領旋蜜雀;žutovrata tangara;tangara rajská;Halsbånds Tangar;Geelkraagtangare;flavkoluma tangaro;mesisäihkytangara;Tangara sucrier;Halsband-Naschvogel;Mielero collodorato;ハシナガフウキンチョウ;geltonoji apykaklėtoji tanagra;honningtanagar;złotoszyjnik;saí-de-colar-amarelo;dácnis-meleiro-de-colar;Ошейниковый саи;Zlatovrati medni puzić;zlatokrčka obojková;Mielerito collarejo;halsbandstangara;Altın Boyunlu Balkuşu;саї малий;;;;;;Chlorophane sucrier;;;;;;;;;;;;;;
10860;PASSERIFORMES;Thraupidae;Chrysothlypis salmoni;Scarlet-and-white Tanager;tàngara carminada;红白唐纳雀;紅白唐納雀;bjeloboka tangara;tangara červenobílá;Rødhvid Tangar;Rood-witte Tangare;skarlatblanka tangaro;rubiinitangara;Tangara rouge;Seidenflankentangare;Tanagra biancorossa;ニショクフウキンチョウ;raudonoji margoji tanagra;skarlagentanagar;tanagerek szkarłatny;saí-rubro;tangará-vermelho-e-branco;Красно-белая танагра;Grimizno-bela tangara;sajra kardinálska;Tangara rojiblanca;rödvit tangara;Al-Beyaz Tangara;танагрик колумбійський;;;;;;Hétérospin rouge;;;;;;;;;;;;;;
10861;PASSERIFORMES;Thraupidae;Chrysothlypis chrysomelas;Black-and-yellow Tanager;tàngara groga i negra;黑黄唐纳雀;黑黃唐納雀;limunasta tangara;tangara černožlutá;Sortgul Tangar;Citroentangare;nigraflava tangaro;sinappitangara;Tangara loriot;Zitronentangare;Tanagra giallonera;キンクロフウキンチョウ;citrininė margoji tanagra;gultanagar;tanagerek żółtogłowy;saí-aurinegro;tangará-preto-e-amarelo;Чёрно-жёлтая танагра;Crno-žuta tangara;sajra žlto-čierna;Tangara negriamarilla;svartgul tangara;Sarıasma Tangarası;танагрик жовтоголовий;;;;;;Hétérospin loriot;;;;;;;;;;;;;;
10862;PASSERIFORMES;Thraupidae;Heterospingus rubrifrons;Sulphur-rumped Tanager;tàngara fumada;黄腰红眉唐纳雀;硫黃腰黃眉唐納雀;karipska tangara;tangara žlutořitá;Gulrygget Tangar;Zwavelstuitkuiftangare;sulfurpuga tangaro;keltaperätangara;Tangara à croupion jaune;Schwefelbürzeltangare;Tanagra groppazolfo;キゴシベニマユフウキンチョウ;geltonuodegis heterospingas;svovelgumptanagar;czubkobrewik ubogi;saí-de-sobre-amarelo;tangará-d'uropígio-amarelo;Желтопоясничная танагра;Tangara sa sumporastim nadrepkom;sajra nížinná;Tangara lomiazufrada;gulgumpad tangara;Sülfür Sokumlu Tangara;танагра-інка панамська;;;;;;Hétérospin à croupion jaune;;;;;;;;;;;;;;
10863;PASSERIFORMES;Thraupidae;Heterospingus xanthopygius;Scarlet-browed Tanager;tàngara cella-roja;红眉唐纳雀;黃眉唐納雀;obrvasta tangara;tangara hnědochocholatá;Rødbrynet Tangar;Wenkbrauwkuiftangare;ruĝbrova tangaro;tulikulmatangara;Tangara à sourcils roux;Rotbrauentangare;Tanagra cigliascarlatte;ベニマユフウキンチョウ;raudonbruvis heterospingas;røddusktanagar;czubkobrewik żałobny;saí-de-sobrancelha-encarnada;tangará-de-sobrancelha-escarlate;Танагра-инка;Tangara sa grimiznom obrvom;sajra obočnatá;Tangara cejirroja;rödbrynad tangara;Al Kaşlı Tangara;танагра-інка червоноброва;;;;;;Hétérospin à sourcils roux;;;;;;;;;;;;;;
10864;PASSERIFORMES;Thraupidae;Hemithraupis flavicollis;Yellow-backed Tanager;tàngara golagroga;黄背裸鼻雀;黃背裸鼻雀;pjegavoboka tangara;tangara žlutohřbetá;Gulhalset Tangar;Geelstuittangare;flavdorsa tangaro;kultakurkkutangara;Tangara à dos jaune;Gelbbürzeltangare;Tanagra dorsogiallo;キゴシフウキンチョウ;geltonuodegė devynbalsinė tanagra;gulgumptanagar;cudotanagerek żółtogardły;saíra-galega;tangará-de-dorso-amarelo;Желтогорлая танагра;Žutoleđa tangara;sajra žltohrdlá;Tangara gorjigualda;gulryggig tangara;Sarı Gerdanlı Tangara;танагрик жовтогорлий;;;;;;Hétérospin à dos jaune;;;;;;;;;;;;;;
10865;PASSERIFORMES;Thraupidae;Hemithraupis guira;Guira Tanager;tàngara guira;吉拉裸鼻雀;吉拉裸鼻雀;sivoboka tangara;tangara guira;Guiratangar;Guiratangare;guira tangaro;mustakurkkutangara;Tangara guira;Guiratangare;Tanagra guira;カオグロキゴシフウキンチョウ;guirinė devynbalsinė tanagra;guiratanagar;cudotanagerek czarnolicy;saíra-de-papo-preto;tangará-guirá;Танагра-гуира;Guira tangara;sajra guira;Tangara guirá;guiratangara;Guira Tangarası;танагрик чорнощокий;;;;;;Hétérospin guira;;;guira tangara;;;;;;;;;;;
10866;PASSERIFORMES;Thraupidae;Hemithraupis ruficapilla;Rufous-headed Tanager;tàngara carabruna;红头裸鼻雀;紅頭裸鼻雀;cimetastoglava tangara;tangara červenokápá;Gråflanket Tangar;Roestkaptangare;rufkapa tangaro;ruostekurkkutangara;Tangara à tête rousse;Rostkappentangare;Tanagra testarossiccia;ズアカキゴシフウキンチョウ;rausvagalvė devynbalsinė tanagra;gulhalstanagar;cudotanagerek rudogłowy;saíra-ferrugem;tangará-ferrugíneo;Красноголовая танагра;Riđoglava tangara;sajra žltokrká;Tangara cabecirrufa;gulhalsad tangara;Kızıl Yüzlü Tangara;танагрик рудоголовий;;;;;;Hétérospin à tête rousse;;;;;;;;;;;;;;
10867;PASSERIFORMES;Thraupidae;Tersina viridis;Swallow Tanager;tàngara oreneta;燕嘴唐纳雀;燕嘴唐加拉雀;tangara lastavičarka;tangara vlaštovčí;Svaletangar;Zwaluwtangare;hirundeca tangaro;pääskytangara;Tersine hirondelle;Schwalbentangare;Tanagra rondine;ツバメフウキンチョウ;kregždinė tanagra;svaletanagar;tersyna;saí-andorinha;tangará-andorinha;Ласточковая танагра;Lastavičja tangara;tersina tyrkysová;Tangara golondrina;svaltangara;Kırlangıç Tangarası;терзина;;;;;;Tersine hirondelle;;;fecsketangara;;;;;;;;;;;
10868;PASSERIFORMES;Thraupidae;Cyanerpes caeruleus;Purple Honeycreeper;tàngara melera porpra;紫旋蜜雀;紫藍旋蜜雀;dugokljuna tangara;květomil purpurový;Purpurhonningsuger;Purpersuikervogel;purpura mieltangaro;mesitangara;Guit-guit céruléen;Kobaltnaschvogel;Mielero viola;ムラサキミツドリ;purpurinė tanagra medsiurbė;purpurhonningkryper;błękitniczek purpurowy;saí-de-pernas-amarelas;dácnis-meleiro-violeta;Фиолетовый саи;Ljubičasti medni puzić;medosavka nachová;Mielerito cerúleo;purpurnektarkrypare;Mavi Balkuşu;танагра-медоїд пурпурова;;;;;selva-türkiistangara;Guit-guit céruléen;;;indigócukormadár;;;;;;;;;;;
